book1	chapter1	verse1	book2	chapter2	verse2	similarity
Samuel_I	5	8	Samuel_I	5	10	62
Leviticus	20	1	Jeremia	24	4	79
Exodus	30	22	Numeri	16	20	85
Exodus	18	15	Exodus	32	22	61
Leviticus	22	26	Reges_I	5	16	61
Exodus	8	21	Psalmi	68	25	60
Josua	21	10	Judices	4	23	61
Samuel_II	7	4	Ezechiel	14	12	63
Leviticus	15	8	Leviticus	15	11	79
Deuteronomium	20	13	Judices	20	37	61
Leviticus	14	30	Reges_I	15	12	61
Leviticus	21	3	Chronica_I	26	18	61
Exodus	40	1	Jeremia	30	1	68
Samuel_I	15	10	Jeremia	29	30	90
Exodus	16	13	Jeremia	4	9	60
Psalmi	18	22	Psalmi	25	6	60
Genesis	18	17	Deuteronomium	1	18	60
Psalmi	127	4	Threni	3	27	64
Psalmi	89	4	Proverbia	25	27	60
Leviticus	24	13	Jeremia	16	1	79
Ezechiel	26	1	Ezechiel	30	20	82
Leviticus	20	11	Leviticus	20	13	72
Genesis	19	25	Exodus	29	35	60
Leviticus	14	1	Josua	4	15	79
Genesis	35	17	Exodus	5	10	61
Judices	8	9	Judices	11	31	60
Numeri	4	45	Numeri	26	50	64
Samuel_I	8	17	Psalmi	116	6	63
Numeri	6	26	Iob	13	8	62
Judices	6	16	Jesaia	42	12	61
Numeri	7	39	Numeri	7	75	100
Leviticus	25	1	Jeremia	2	1	63
Samuel_II	5	4	Reges_II	8	17	70
Judices	11	28	Jeremia	26	5	61
Jesaia	37	20	Chronica_II	20	29	63
Reges_II	15	6	Reges_II	23	28	96
Sacharia	12	2	Chronica_I	17	22	61
Jona	3	1	Psalmi	124	2	62
Leviticus	19	3	Psalmi	83	13	67
Genesis	16	11	Genesis	19	22	62
Jesaia	43	11	Psalmi	38	10	61
Numeri	33	30	Numeri	33	42	76
Psalmi	78	15	Proverbia	14	23	60
Reges_I	22	37	Psalmi	107	23	61
Genesis	21	11	Reges_I	15	11	61
Deuteronomium	2	16	Jesaia	52	14	62
Samuel_I	11	14	Nehemia	4	5	62
Genesis	43	10	Jesaia	42	12	62
Reges_I	14	19	Reges_II	15	6	77
Psalmi	20	1	Psalmi	53	1	71
Numeri	13	1	Ezechiel	21	13	79
Psalmi	68	25	Chronica_I	26	20	61
Genesis	4	13	Psalmi	77	11	62
Numeri	15	37	Numeri	26	1	62
Reges_II	8	18	Chronica_II	36	9	61
Psalmi	69	1	Iob	39	28	64
Deuteronomium	33	1	Ezechiel	41	13	60
Numeri	32	10	Ezechiel	34	1	60
Numeri	34	6	Jesaia	25	9	60
Exodus	39	14	Reges_II	3	1	62
Numeri	7	40	Numeri	7	70	100
Exodus	16	25	Chronica_II	18	27	61
Numeri	1	26	Numeri	1	28	95
Samuel_II	19	2	Reges_II	8	17	61
Genesis	28	21	Psalmi	68	11	61
Reges_II	12	1	Nehemia	7	13	65
Numeri	9	9	Psalmi	33	4	67
Samuel_II	16	4	Reges_II	13	16	63
Ezechiel	28	4	Nehemia	9	31	62
Deuteronomium	27	11	Psalmi	90	1	61
Esra	9	15	Chronica_II	6	14	61
Numeri	13	31	Samuel_I	10	12	60
Leviticus	21	24	Psalmi	12	3	61
Deuteronomium	27	14	Jeremia	30	22	60
Josua	9	19	Samuel_II	14	10	62
Genesis	29	16	Ezechiel	43	15	60
Leviticus	7	22	Numeri	14	26	85
Exodus	12	1	Numeri	13	1	61
Samuel_I	2	23	Reges_II	18	26	60
Numeri	15	17	Ezechiel	30	1	79
Exodus	31	10	Exodus	35	19	88
Samuel_I	18	24	Samuel_II	11	19	61
Psalmi	3	3	Psalmi	143	6	63
Genesis	15	21	Exodus	33	2	63
Esra	2	39	Nehemia	7	35	74
Numeri	31	18	Numeri	31	35	64
Samuel_II	23	22	Iob	33	29	60
Jeremia	24	4	Jeremia	34	12	73
Judices	12	12	Jeremia	36	15	63
Samuel_II	22	18	Samuel_II	22	49	60
Exodus	31	1	Numeri	4	17	85
Numeri	14	9	Jesaia	7	17	69
Psalmi	31	13	Iob	13	10	61
Samuel_II	15	27	Samuel_II	19	1	61
Jeremia	39	15	Haggai	1	3	65
Psalmi	119	107	Iob	18	1	65
Leviticus	7	22	Leviticus	23	26	100
Numeri	16	20	Josua	22	6	60
Leviticus	18	8	Psalmi	118	14	62
Jeremia	18	5	Iob	13	7	62
Deuteronomium	14	5	Jesaia	47	4	62
Leviticus	17	1	Ezechiel	37	15	79
Reges_I	16	1	Reges_I	21	28	74
Ezechiel	21	6	Psalmi	94	20	60
Genesis	21	33	Jeremia	44	16	62
Numeri	4	17	Ezechiel	28	1	67
Deuteronomium	4	4	Ezechiel	22	1	62
Psalmi	5	1	Psalmi	62	1	84
Genesis	24	6	Psalmi	50	12	62
Reges_II	23	36	Reges_II	24	18	83
Jesaia	2	12	Psalmi	96	4	62
Jeremia	25	37	Jeremia	51	45	61
Deuteronomium	4	30	Samuel_I	17	30	60
Threni	3	10	Esra	7	3	62
Numeri	9	9	Ezechiel	12	17	79
Numeri	34	7	Reges_I	18	39	62
Leviticus	1	1	Reges_I	17	8	62
Numeri	4	25	Chronica_II	5	5	61
Numeri	34	22	Numeri	34	26	67
Psalmi	33	8	Proverbia	3	9	61
Numeri	26	52	Proverbia	31	1	62
Leviticus	14	1	Ezechiel	30	1	79
Exodus	30	17	Numeri	4	17	85
Judices	13	10	Samuel_II	18	10	69
Samuel_I	18	15	Psalmi	33	4	62
Samuel_II	20	4	Ezechiel	24	19	60
Exodus	3	14	Exodus	4	27	62
Iob	20	23	Chronica_I	6	32	60
Psalmi	18	22	Psalmi	78	10	64
Exodus	31	1	Joel	1	1	60
Exodus	12	49	Exodus	30	28	61
Hosea	11	6	Iob	18	13	64
Esther	6	1	Esther	9	11	63
Exodus	16	25	Reges_I	19	9	62
Reges_II	19	15	Jesaia	37	16	87
Josua	21	14	Chronica_I	6	60	76
Deuteronomium	1	32	Reges_I	16	1	62
Samuel_I	14	18	Nehemia	13	9	61
Exodus	7	1	Jeremia	9	12	62
Jeremia	28	6	Nehemia	10	37	60
Nehemia	7	12	Nehemia	7	41	63
Numeri	35	18	Psalmi	139	15	61
Psalmi	30	5	Psalmi	107	21	64
Jesaia	13	8	Sacharia	4	4	61
Chronica_I	11	17	Chronica_II	6	1	60
Psalmi	70	1	Psalmi	103	9	65
Samuel_I	17	19	Psalmi	96	2	61
Jesaia	14	15	Psalmi	119	85	63
Jeremia	1	8	Iob	34	16	62
Psalmi	107	1	Psalmi	107	8	61
Psalmi	118	20	Iob	38	38	67
Genesis	17	4	Sacharia	6	9	65
Genesis	11	13	Genesis	11	23	76
Genesis	34	4	Judices	15	16	61
Genesis	1	3	Jeremia	32	6	72
Esra	2	5	Esra	2	14	63
Psalmi	115	5	Iob	22	2	61
Numeri	33	11	Numeri	33	41	67
Leviticus	8	34	Leviticus	23	28	61
Numeri	35	9	Ezechiel	27	1	79
Genesis	8	5	Esra	6	19	60
Genesis	36	31	Numeri	14	10	60
Jeremia	29	20	Esra	5	7	60
Leviticus	7	28	Jeremia	18	19	65
Genesis	11	8	Iob	5	10	61
Numeri	26	53	Deuteronomium	12	24	60
Psalmi	82	7	Iob	27	3	62
Samuel_II	23	3	Jeremia	7	3	61
Jeremia	30	1	Psalmi	113	2	61
Nehemia	9	12	Nehemia	9	19	60
Jeremia	13	3	Ezechiel	25	1	91
Leviticus	7	27	Leviticus	23	29	66
Daniel	1	14	Esra	10	4	63
Exodus	7	25	Psalmi	30	1	61
Numeri	11	24	Jeremia	2	31	60
Genesis	5	23	Genesis	5	30	63
Genesis	3	9	Esther	7	1	62
Jeremia	48	43	Iob	9	12	60
Reges_II	18	2	Chronica_II	21	5	64
Iob	15	9	Iob	31	3	67
Exodus	31	12	Numeri	9	9	91
Reges_II	6	28	Jeremia	44	20	61
Genesis	17	4	Ezechiel	28	11	65
Genesis	20	12	Exodus	35	13	62
Iob	28	22	Iob	33	8	67
Numeri	16	20	Jona	3	1	76
Numeri	35	9	Sacharia	8	1	71
Ezechiel	38	1	Psalmi	124	2	62
Leviticus	13	3	Leviticus	13	32	63
Deuteronomium	1	26	Deuteronomium	12	24	61
Exodus	20	6	Psalmi	119	60	67
Numeri	10	20	Numeri	10	27	70
Numeri	6	22	Numeri	27	6	91
Exodus	14	1	Numeri	16	20	85
Ezechiel	30	1	Iob	27	4	60
Numeri	15	5	Ezechiel	12	11	62
Jesaia	49	3	Psalmi	119	17	68
Hosea	9	5	Iob	18	14	60
Genesis	32	24	Psalmi	104	10	64
Reges_I	17	2	Ezechiel	38	1	100
Leviticus	19	16	Chronica_II	20	32	62
Deuteronomium	6	24	Reges_II	17	41	61
Leviticus	23	24	Numeri	20	1	61
Josua	1	10	Ezechiel	28	1	63
Jesaia	7	10	Ezechiel	11	14	74
Samuel_I	18	14	Psalmi	99	2	63
Leviticus	21	3	Psalmi	29	10	62
Iob	3	11	Iob	8	10	64
Numeri	8	5	Proverbia	30	12	60
Numeri	5	1	Iob	29	22	60
Numeri	24	13	Chronica_II	21	3	60
Numeri	31	1	Samuel_II	22	2	65
Numeri	17	1	Ezechiel	22	23	79
Reges_I	16	28	Reges_II	8	24	78
Reges_I	19	9	Chronica_II	1	7	60
Numeri	33	26	Threni	3	55	60
Numeri	4	35	Numeri	18	21	62
Ezechiel	24	6	Amos	5	3	62
Reges_II	25	1	Jeremia	39	1	71
Numeri	1	48	Numeri	13	1	100
Numeri	34	16	Proverbia	10	27	62
Jeremia	7	1	Ezechiel	25	1	65
Psalmi	111	5	Psalmi	118	4	61
Numeri	34	20	Chronica_I	7	19	68
Genesis	26	30	Threni	3	60	63
Exodus	17	10	Deuteronomium	2	16	60
Jeremia	32	38	Ezechiel	28	1	63
Samuel_II	7	13	Chronica_II	6	2	66
Hosea	4	4	Proverbia	16	2	60
Psalmi	107	24	Chronica_II	11	2	60
Jeremia	18	19	Psalmi	125	4	62
Exodus	14	1	Proverbia	30	12	60
Psalmi	69	12	Proverbia	31	3	60
Leviticus	22	26	Samuel_I	15	10	81
Genesis	31	3	Chronica_I	13	4	62
Genesis	37	24	Jeremia	23	21	62
Reges_I	12	22	Chronica_I	21	9	62
Leviticus	5	20	Haggai	1	3	65
Deuteronomium	4	4	Chronica_II	15	18	61
Leviticus	15	2	Leviticus	24	15	62
Psalmi	121	2	Iob	28	21	60
Leviticus	11	47	Josua	17	12	60
Numeri	11	3	Samuel_I	9	25	62
Psalmi	6	2	Canticum	1	10	61
Deuteronomium	8	10	Chronica_II	34	23	61
Numeri	13	1	Reges_I	21	28	71
Jeremia	29	9	Psalmi	113	9	60
Numeri	28	19	Numeri	29	8	81
Exodus	30	22	Numeri	25	16	100
Psalmi	49	2	Psalmi	65	3	64
Reges_I	20	19	Jesaia	38	7	60
Reges_I	18	8	Psalmi	83	9	62
Numeri	33	56	Amos	5	20	62
Jesaia	66	21	Proverbia	23	30	61
Numeri	15	37	Numeri	27	6	100
Numeri	2	22	Numeri	10	24	74
Exodus	5	22	Proverbia	10	26	61
Esra	2	14	Esra	2	29	71
Judices	8	19	Ezechiel	24	20	60
Samuel_I	17	27	Samuel_II	19	30	62
Samuel_I	16	6	Psalmi	89	10	60
Reges_II	22	10	Esther	6	1	61
Genesis	17	18	Iob	20	6	60
Esra	2	4	Esra	2	16	65
Psalmi	130	6	Psalmi	144	11	61
Numeri	1	20	Numeri	1	40	81
Numeri	23	11	Numeri	24	10	66
Reges_II	17	39	Psalmi	113	5	60
Ezechiel	12	17	Ezechiel	25	1	100
Leviticus	15	10	Leviticus	17	15	72
Judices	6	23	Proverbia	23	12	61
Numeri	17	16	Ezechiel	17	1	79
Jesaia	66	21	Amos	7	3	62
Deuteronomium	31	25	Jeremia	32	26	60
Exodus	30	11	Ezechiel	16	1	79
Numeri	20	10	Josua	10	14	61
Jesaia	30	9	Chronica_I	26	9	61
Genesis	34	11	Judices	13	13	61
Genesis	19	5	Sacharia	4	13	63
Iob	22	1	Iob	42	1	62
Ezechiel	17	1	Sacharia	8	1	91
Leviticus	14	1	Numeri	5	1	100
Chronica_I	25	26	Chronica_I	26	9	62
Reges_I	4	1	Chronica_II	9	30	67
Jeremia	18	1	Psalmi	18	22	62
Samuel_I	15	10	Samuel_II	7	4	62
Leviticus	16	29	Jeremia	52	4	63
Iob	33	13	Proverbia	17	25	61
Psalmi	107	6	Psalmi	107	19	88
Leviticus	15	1	Jeremia	11	1	72
Reges_II	12	13	Chronica_II	34	11	62
Ezechiel	21	6	Sacharia	4	8	100
Exodus	31	12	Ezechiel	12	1	69
Deuteronomium	30	11	Chronica_II	8	7	61
Numeri	6	22	Ezechiel	20	2	79
Jeremia	7	27	Jeremia	9	4	62
Daniel	1	17	Chronica_II	13	5	60
Jeremia	11	1	Psalmi	118	18	60
Jesaia	37	16	Jona	1	9	61
Reges_I	1	52	Jona	4	9	60
Leviticus	13	1	Chronica_II	11	2	77
Psalmi	118	1	Psalmi	118	3	64
Jeremia	6	22	Jeremia	10	18	61
Genesis	8	15	Proverbia	23	12	68
Samuel_II	10	1	Reges_II	10	35	61
Samuel_I	17	30	Samuel_II	17	6	66
Genesis	11	1	Psalmi	97	1	67
Josua	1	12	Josua	4	12	62
Psalmi	69	9	Psalmi	145	18	60
Numeri	1	11	Chronica_I	6	12	63
Numeri	17	16	Ezechiel	24	15	79
Esra	8	28	Chronica_I	15	12	62
Jesaia	1	20	Psalmi	4	7	62
Jeremia	30	1	Psalmi	35	1	62
Genesis	3	9	Exodus	14	1	63
Numeri	17	1	Ezechiel	17	11	79
Psalmi	147	12	Proverbia	15	8	63
Numeri	18	25	Psalmi	89	32	67
Jeremia	21	1	Jeremia	29	25	64
Jesaia	10	23	Proverbia	25	8	61
Exodus	22	1	Jesaia	3	25	60
Chronica_I	17	23	Chronica_II	1	9	62
Samuel_I	9	15	Psalmi	69	23	61
Leviticus	19	1	Numeri	3	11	100
Genesis	37	6	Chronica_I	12	26	61
Samuel_II	1	8	Psalmi	94	16	63
Jeremia	11	11	Chronica_II	18	18	60
Josua	7	3	Jeremia	26	12	60
Habakuk	2	20	Psalmi	96	9	78
Numeri	15	1	Numeri	25	10	100
Ezechiel	37	3	Amos	7	6	61
Genesis	17	4	Chronica_I	1	14	61
Samuel_II	22	30	Iob	33	14	65
Reges_II	18	15	Amos	8	13	61
Exodus	30	11	Numeri	33	50	63
Iob	6	1	Iob	16	1	100
Numeri	9	11	Jesaia	37	34	61
Numeri	7	25	Numeri	7	67	100
Exodus	34	23	Chronica_I	15	14	63
Exodus	19	7	Jeremia	44	24	60
Jeremia	21	3	Ruth	3	5	65
Exodus	4	22	Proverbia	20	22	60
Numeri	5	1	Numeri	31	25	91
Deuteronomium	21	18	Chronica_II	6	8	62
Reges_II	17	40	Iob	32	22	62
Psalmi	137	2	Iob	16	17	63
Numeri	8	9	Numeri	34	7	60
Exodus	20	1	Deuteronomium	2	17	63
Esra	4	9	Esra	4	17	63
Psalmi	75	7	Iob	6	3	62
Numeri	1	33	Numeri	2	19	72
Genesis	15	6	Iob	6	29	60
Jeremia	25	21	Psalmi	73	16	60
Samuel_I	22	16	Proverbia	31	21	60
Psalmi	81	10	Proverbia	5	20	64
Leviticus	19	1	Ezechiel	15	1	79
Iob	19	11	Iob	31	10	60
Psalmi	119	19	Iob	11	9	61
Psalmi	92	16	Ecclesiastes	1	4	60
Numeri	7	4	Reges_I	2	14	61
Numeri	7	30	Chronica_I	11	39	62
Sacharia	4	4	Iob	34	33	61
Leviticus	13	30	Leviticus	13	36	62
Ezechiel	35	1	Sacharia	6	9	100
Numeri	3	11	Jona	3	1	77
Ezechiel	2	1	Micha	5	8	61
Numeri	4	21	Numeri	5	11	100
Leviticus	22	26	Numeri	3	14	77
Ezechiel	27	1	Psalmi	99	2	60
Numeri	16	1	Chronica_I	26	25	60
Leviticus	10	8	Numeri	34	16	88
Exodus	7	8	Deuteronomium	4	24	67
Psalmi	50	22	Psalmi	124	6	60
Reges_II	15	7	Reges_II	21	18	75
Leviticus	24	1	Psalmi	109	9	61
Ezechiel	7	2	Sacharia	14	7	60
Numeri	13	12	Psalmi	49	1	60
Genesis	41	16	Samuel_I	20	32	63
Numeri	5	11	Ezechiel	27	1	79
Leviticus	11	1	Ezechiel	12	1	63
Genesis	46	2	Psalmi	129	8	63
Jesaia	36	14	Jeremia	42	9	62
Numeri	8	23	Reges_II	21	10	68
Leviticus	24	1	Numeri	10	1	100
Samuel_I	8	8	Samuel_II	7	6	63
Genesis	47	26	Haggai	2	18	63
Reges_II	14	28	Reges_II	24	5	65
Exodus	20	3	Psalmi	35	16	60
Deuteronomium	3	26	Jeremia	4	5	61
Reges_I	15	2	Chronica_II	22	2	63
Jesaia	3	25	Proverbia	20	18	62
Exodus	32	33	Leviticus	7	22	61
Numeri	29	19	Numeri	29	22	88
Numeri	25	16	Psalmi	145	10	63
Jeremia	34	12	Psalmi	118	6	62
Genesis	5	19	Genesis	11	11	81
Psalmi	26	2	Psalmi	119	34	60
Deuteronomium	2	18	Sacharia	8	18	60
Chronica_I	25	21	Chronica_I	25	23	76
Numeri	15	10	Proverbia	17	3	61
Josua	12	15	Josua	12	23	66
Psalmi	37	37	Psalmi	145	20	62
Exodus	20	3	Proverbia	27	2	63
Deuteronomium	2	2	Jeremia	33	19	69
Exodus	36	9	Chronica_II	5	9	62
Esra	8	4	Esra	8	10	70
Leviticus	13	4	Leviticus	13	20	62
Deuteronomium	1	26	Chronica_I	24	21	60
Ezechiel	7	3	Ezechiel	22	2	65
Samuel_II	15	33	Iob	14	2	60
Leviticus	7	22	Jeremia	29	30	86
Leviticus	21	16	Sacharia	7	4	72
Psalmi	6	6	Psalmi	57	10	62
Josua	12	15	Josua	12	17	68
Numeri	13	1	Numeri	14	26	85
Deuteronomium	1	29	Psalmi	119	19	62
Numeri	3	11	Sacharia	8	18	72
Psalmi	108	4	Canticum	6	7	60
Amos	2	12	Esra	6	10	62
Reges_I	16	28	Chronica_II	12	16	83
Exodus	22	21	Proverbia	9	13	60
Iob	8	10	Ecclesiastes	6	7	61
Jesaia	34	2	Psalmi	29	3	60
Exodus	16	9	Leviticus	17	2	61
Genesis	50	16	Psalmi	106	27	61
Psalmi	73	11	Ecclesiastes	3	9	62
Josua	21	10	Sacharia	12	9	62
Leviticus	6	17	Chronica_I	21	9	75
Reges_I	18	37	Sacharia	3	8	61
Deuteronomium	6	24	Chronica_I	29	20	62
Jeremia	29	8	Jeremia	29	25	60
Jeremia	34	12	Psalmi	104	31	67
Psalmi	103	11	Iob	16	21	63
Jeremia	1	19	Chronica_II	15	3	60
Ezechiel	12	28	Ezechiel	29	8	62
Reges_I	8	10	Hosea	2	18	61
Leviticus	7	22	Numeri	8	23	100
Genesis	33	9	Jeremia	11	9	61
Leviticus	10	8	Joel	1	1	60
Genesis	3	9	Numeri	2	1	68
Numeri	7	4	Numeri	34	1	91
Deuteronomium	17	10	Ezechiel	9	11	61
Psalmi	104	27	Proverbia	5	17	60
Jeremia	17	10	Chronica_II	30	7	60
Numeri	7	17	Numeri	7	59	89
Genesis	11	3	Deuteronomium	19	17	62
Exodus	25	1	Numeri	15	17	100
Leviticus	23	1	Numeri	6	24	67
Numeri	34	7	Jeremia	1	14	61
Numeri	23	11	Numeri	24	12	60
Judices	3	30	Judices	8	28	60
Samuel_I	3	21	Ezechiel	29	11	61
Psalmi	19	1	Psalmi	66	1	61
Ezechiel	1	16	Ezechiel	10	10	73
Exodus	12	1	Ezechiel	12	8	61
Jesaia	51	21	Ezechiel	30	15	60
Iob	30	2	Proverbia	9	12	62
Deuteronomium	5	6	Hosea	12	10	70
Leviticus	14	1	Sacharia	8	1	71
Exodus	7	8	Numeri	16	20	93
Numeri	12	16	Numeri	33	27	63
Deuteronomium	29	23	Josua	23	3	60
Leviticus	8	1	Jeremia	13	8	79
Samuel_II	14	27	Iob	15	31	60
Psalmi	144	4	Proverbia	4	15	60
Leviticus	11	1	Maleachi	1	1	62
Genesis	39	17	Numeri	14	39	62
Numeri	5	11	Ezechiel	12	21	79
Jeremia	32	20	Jeremia	44	6	62
Esther	5	5	Esther	6	4	60
Numeri	17	16	Jeremia	1	4	79
Genesis	36	23	Iob	34	36	61
Leviticus	14	1	Ezechiel	24	15	79
Numeri	24	12	Ruth	3	17	61
Deuteronomium	28	2	Deuteronomium	29	5	60
Psalmi	79	1	Psalmi	82	1	60
Deuteronomium	3	23	Psalmi	88	14	60
Numeri	25	10	Jeremia	14	1	61
Leviticus	13	32	Leviticus	13	34	75
Leviticus	5	20	Numeri	26	52	100
Reges_II	25	30	Jesaia	43	20	61
Exodus	30	11	Numeri	10	1	100
Reges_I	8	13	Habakuk	2	12	65
Genesis	18	9	Psalmi	25	12	60
Numeri	2	4	Numeri	2	11	78
Leviticus	18	2	Deuteronomium	23	7	60
Numeri	20	12	Numeri	27	12	61
Genesis	22	5	Genesis	22	7	61
Deuteronomium	3	23	Samuel_I	10	6	60
Iob	7	1	Iob	17	10	60
Exodus	20	1	Numeri	12	2	60
Jeremia	19	15	Jeremia	27	19	61
Psalmi	83	15	Psalmi	87	3	61
Numeri	16	23	Josua	4	15	79
Psalmi	34	18	Proverbia	17	17	60
Numeri	15	1	Jeremia	18	19	65
Jesaia	49	17	Chronica_I	3	12	62
Exodus	35	4	Numeri	5	9	62
Numeri	18	25	Jesaia	7	10	61
Exodus	4	13	Psalmi	120	6	60
Exodus	19	10	Samuel_I	20	11	61
Genesis	41	3	Reges_II	3	20	60
Deuteronomium	5	7	Proverbia	20	17	60
Jeremia	22	5	Chronica_II	6	22	60
Genesis	29	21	Reges_I	12	26	61
Psalmi	115	15	Ecclesiastes	7	24	61
Exodus	31	9	Exodus	35	16	73
Deuteronomium	29	15	Jesaia	19	24	63
Numeri	2	15	Numeri	2	26	68
Josua	12	19	Josua	12	21	74
Samuel_II	7	13	Reges_II	14	22	62
Genesis	30	4	Chronica_I	6	4	63
Jeremia	46	1	Ezechiel	22	23	61
Exodus	16	13	Samuel_II	2	29	60
Psalmi	119	5	Proverbia	3	6	65
Exodus	40	24	Exodus	40	30	60
Samuel_I	16	15	Samuel_II	6	23	60
Genesis	9	29	Genesis	11	24	60
Exodus	13	4	Psalmi	144	3	60
Ezechiel	14	12	Sacharia	7	4	91
Esra	8	9	Esra	8	11	75
Exodus	6	12	Exodus	8	11	62
Reges_I	17	2	Chronica_I	21	9	67
Reges_I	22	2	Reges_II	15	11	63
Chronica_I	3	13	Chronica_I	6	28	62
Psalmi	80	4	Psalmi	80	20	83
Leviticus	23	33	Ecclesiastes	6	11	61
Reges_I	2	14	Ezechiel	28	1	67
Daniel	9	6	Chronica_I	29	30	64
Leviticus	26	14	Ezechiel	18	22	61
Exodus	33	4	Deuteronomium	19	20	60
Psalmi	33	15	Psalmi	36	8	63
Deuteronomium	2	2	Jeremia	5	30	60
Psalmi	30	7	Iob	27	14	64
Genesis	42	1	Numeri	20	15	63
Jesaia	41	3	Proverbia	11	29	62
Ezechiel	22	17	Ezechiel	33	1	100
Proverbia	15	23	Chronica_II	24	2	62
Leviticus	7	22	Iob	29	22	60
Psalmi	119	147	Iob	19	2	60
Genesis	15	7	Ezechiel	36	33	60
Exodus	6	2	Leviticus	14	1	70
Genesis	9	4	Threni	3	3	63
Leviticus	25	55	Jeremia	34	13	60
Josua	21	6	Chronica_I	6	48	72
Ezechiel	21	13	Sacharia	3	6	61
Exodus	31	1	Ezechiel	28	11	79
Genesis	38	7	Chronica_II	14	1	63
Exodus	1	2	Psalmi	106	25	61
Reges_I	13	20	Haggai	2	10	61
Leviticus	11	27	Leviticus	11	31	66
Psalmi	40	14	Psalmi	141	8	60
Esra	2	46	Chronica_I	6	32	64
Leviticus	20	1	Ezechiel	21	23	79
Reges_I	11	41	Reges_II	15	6	80
Reges_I	9	2	Psalmi	102	13	62
Genesis	41	37	Genesis	45	16	60
Exodus	6	10	Leviticus	5	14	100
Jeremia	30	1	Ezechiel	6	1	65
Jeremia	29	30	Ezechiel	16	24	64
Jeremia	52	2	Chronica_II	29	2	86
Exodus	30	17	Leviticus	27	1	100
Psalmi	94	7	Iob	34	8	62
Hosea	6	11	Nehemia	12	10	62
Jeremia	20	18	Psalmi	102	14	60
Nehemia	7	16	Nehemia	7	23	76
Samuel_I	17	32	Chronica_I	22	7	60
Numeri	25	16	Ezechiel	25	1	79
Numeri	17	9	Reges_I	5	16	61
Jeremia	14	7	Psalmi	109	21	61
Psalmi	111	1	Psalmi	150	1	61
Reges_I	16	1	Jeremia	35	12	69
Exodus	16	25	Numeri	31	27	61
Jesaia	3	11	Proverbia	20	22	64
Numeri	19	1	Proverbia	15	26	60
Jeremia	52	2	Chronica_II	14	1	64
Leviticus	7	22	Maleachi	1	1	60
Ezechiel	3	16	Ezechiel	28	1	67
Psalmi	119	90	Proverbia	16	9	68
Exodus	2	12	Numeri	16	33	60
Ezechiel	39	8	Psalmi	78	14	61
Ecclesiastes	7	2	Chronica_II	18	14	60
Exodus	14	1	Jeremia	11	1	68
Genesis	50	19	Iob	36	21	68
Jeremia	34	12	Ezechiel	15	1	73
Leviticus	22	17	Maleachi	1	1	60
Numeri	6	22	Deuteronomium	32	48	69
Numeri	14	39	Deuteronomium	11	23	62
Exodus	20	23	Psalmi	147	20	60
Psalmi	94	12	Psalmi	119	29	62
Genesis	8	15	Exodus	25	1	76
Exodus	29	46	Reges_I	8	51	65
Genesis	34	11	Judices	15	16	60
Leviticus	19	31	Ezechiel	34	22	63
Leviticus	21	16	Ezechiel	12	8	73
Numeri	13	16	Deuteronomium	4	36	60
Reges_I	22	39	Reges_II	15	36	69
Exodus	30	27	Exodus	40	4	67
Psalmi	6	6	Chronica_II	6	2	60
Samuel_I	15	10	Jeremia	30	4	64
Ruth	4	22	Chronica_I	5	38	62
Numeri	7	17	Numeri	7	41	91
Ezechiel	11	23	Ezechiel	35	12	61
Genesis	50	14	Jesaia	62	9	60
Psalmi	119	16	Psalmi	119	95	62
Numeri	7	21	Numeri	7	75	100
Numeri	1	14	Numeri	2	14	65
Jesaia	29	15	Daniel	2	22	67
Leviticus	7	28	Jeremia	14	1	61
Reges_II	15	1	Chronica_II	33	21	60
Leviticus	25	7	Jeremia	30	4	61
Numeri	2	16	Numeri	2	24	79
Psalmi	89	30	Nehemia	12	16	60
Psalmi	119	152	Psalmi	136	24	71
Jesaia	40	10	Nahum	3	5	61
Psalmi	89	48	Chronica_I	6	24	61
Exodus	7	1	Exodus	16	28	65
Numeri	4	17	Jeremia	34	12	75
Jeremia	23	17	Sacharia	1	9	61
Genesis	8	15	Ezechiel	35	1	73
Exodus	22	24	Samuel_I	13	10	60
Exodus	31	12	Leviticus	6	1	91
Genesis	28	21	Reges_I	4	11	62
Psalmi	69	35	Iob	22	12	60
Exodus	34	33	Nahum	3	12	62
Ecclesiastes	1	14	Ecclesiastes	2	17	83
Deuteronomium	3	22	Psalmi	35	24	61
Psalmi	97	1	Psalmi	118	24	65
Numeri	26	21	Numeri	26	24	61
Numeri	16	23	Ezechiel	14	12	79
Exodus	40	32	Numeri	23	26	61
Sacharia	7	4	Psalmi	37	31	60
Jeremia	33	19	Psalmi	89	32	62
Psalmi	13	1	Psalmi	108	1	69
Psalmi	18	42	Psalmi	118	25	62
Genesis	9	25	Jesaia	60	1	69
Psalmi	38	17	Iob	36	27	60
Jesaia	19	24	Jesaia	30	24	61
Hosea	2	23	Maleachi	3	23	60
Genesis	1	23	Ezechiel	17	11	63
Psalmi	83	4	Psalmi	107	11	60
Jeremia	33	17	Amos	6	5	60
Nehemia	7	38	Chronica_I	23	18	60
Exodus	19	10	Leviticus	21	1	60
Samuel_I	15	10	Proverbia	3	8	60
Deuteronomium	9	24	Canticum	7	7	64
Deuteronomium	5	10	Psalmi	119	60	67
Leviticus	1	11	Leviticus	9	12	68
