book1	chapter1	verse1	book2	chapter2	verse2	similarity
Samuel_I	3	4	Jeremia	32	26	63
Numeri	35	1	Chronica_I	21	9	60
Reges_I	14	25	Reges_I	20	26	60
Genesis	13	17	Psalmi	119	133	63
Jesaia	24	21	Zephania	1	10	64
Jeremia	18	13	Jeremia	25	8	61
Iob	29	23	Threni	3	24	60
Leviticus	14	1	Psalmi	25	4	61
Nehemia	7	36	Chronica_I	15	7	62
Psalmi	78	46	Psalmi	120	3	65
Psalmi	31	1	Psalmi	75	1	70
Samuel_II	21	5	Chronica_II	11	13	60
Jeremia	29	30	Ezechiel	7	1	89
Judices	6	23	Jeremia	48	21	61
Exodus	40	1	Jeremia	29	30	86
Genesis	20	8	Reges_I	3	21	60
Psalmi	132	3	Iob	37	15	63
Psalmi	95	3	Psalmi	138	5	62
Genesis	9	14	Genesis	9	18	61
Leviticus	13	1	Numeri	25	10	85
Numeri	34	22	Nehemia	7	58	64
Genesis	39	19	Nehemia	1	4	61
Leviticus	8	5	Reges_II	18	36	60
Deuteronomium	27	14	Josua	1	16	63
Genesis	23	12	Chronica_I	15	23	63
Reges_II	2	18	Psalmi	113	9	61
Exodus	30	31	Numeri	15	32	60
Numeri	16	23	Ezechiel	24	20	68
Samuel_II	20	23	Samuel_II	23	22	62
Psalmi	119	93	Iob	27	22	62
Jeremia	34	9	Jeremia	34	16	60
Psalmi	144	15	Iob	33	27	66
Reges_II	24	5	Chronica_II	16	11	65
Exodus	20	22	Exodus	32	7	60
Numeri	4	21	Numeri	19	1	85
Psalmi	5	1	Psalmi	67	1	67
Samuel_I	25	38	Psalmi	6	3	61
Jeremia	11	1	Ezechiel	28	20	65
Samuel_I	2	12	Iob	29	16	65
Deuteronomium	15	5	Reges_I	20	36	60
Esra	2	45	Chronica_I	4	35	65
Ezechiel	24	19	Psalmi	124	1	61
Numeri	2	8	Numeri	2	26	81
Jesaia	57	21	Psalmi	109	1	62
Chronica_II	12	16	Chronica_II	27	9	86
Samuel_I	1	21	Iob	42	15	61
Jesaia	7	18	Jesaia	24	21	66
Jona	4	4	Psalmi	119	156	61
Psalmi	69	34	Psalmi	102	21	60
Jesaia	44	20	Chronica_I	9	34	61
Genesis	8	15	Leviticus	22	1	76
Leviticus	1	1	Ezechiel	24	15	62
Numeri	28	1	Ezechiel	23	1	79
Leviticus	19	4	Ezechiel	37	27	63
Leviticus	23	26	Numeri	31	25	91
Iob	7	7	Proverbia	24	25	60
Psalmi	105	13	Psalmi	136	2	62
Jeremia	27	1	Jeremia	34	12	62
Jeremia	11	1	Ezechiel	28	11	65
Leviticus	13	1	Iob	29	22	61
Iob	23	1	Iob	25	1	67
Numeri	6	2	Numeri	15	18	67
Jeremia	32	38	Daniel	1	21	60
Samuel_I	25	27	Jeremia	41	7	61
Numeri	23	20	Jeremia	35	12	60
Esra	2	11	Esra	2	13	67
Deuteronomium	5	30	Psalmi	92	9	61
Jeremia	30	1	Psalmi	34	12	62
Exodus	30	11	Jeremia	18	1	68
Leviticus	26	23	Iob	29	16	61
Psalmi	110	7	Iob	31	10	63
Reges_I	22	53	Reges_II	15	24	80
Iob	6	12	Proverbia	5	11	62
Samuel_I	9	9	Chronica_II	25	7	60
Jesaia	22	20	Amos	5	20	61
