version	book	chapter	verse	clause_atom	is_shared	is_published	status	keywords	ntext
4b	Numeri	34	1	3827	T		!	crossref	[Numeri 26:52~100%~100%](Numeri 26)
4b	Numeri	34	1	3827	T		!	crossref	[Numeri 27:6~x%~91%, 15~100%~x%](Numeri 27)
4b	Numeri	34	1	3827	T		!	crossref	[Numeri 28:1~100%~100%](Numeri 28)
4b	Numeri	34	1	3827	T		!	crossref	[Numeri 31:1~100%~100%, 25~x%~91%](Numeri 31)
4b	Numeri	34	1	3827	T		!	crossref	[Numeri 34:16~100%~100%](Numeri 34)
4b	Numeri	34	1	3827	T		!	crossref	[Numeri 35:9~100%~100%](Numeri 35)
4b	Reges_I	8	13	1126	T		!	crossref	[Chronica_II 6:2~88%~96%](Chronica_II 6)
4b	Nehemia	7	38	605	T		!	crossref	[Esra 2:35~x%~94%](Esra 2)
4b	Psalmi	115	5	5913	T		!	crossref	[Psalmi 135:16~100%~100%](Psalmi 135)
4b	Reges_I	8	16	1137	T		!	crossref	[Chronica_II 6:5~x%~91%](Chronica_II 6)
4b	Reges_I	8	17	1144	T		!	crossref	[Chronica_II 6:7~100%~100%](Chronica_II 6)
4b	Reges_I	8	18	1146	T		!	crossref	[Chronica_II 6:8~100%~100%](Chronica_II 6)
4b	Nehemia	7	43	611	T		!	crossref	[Esra 2:40~100%~94%](Esra 2)
4b	Reges_I	8	20	1155	T		!	crossref	[Chronica_II 6:10~100%~100%](Chronica_II 6)
4b	Psalmi	115	12	5938	T		!	crossref	[Psalmi 135:19~86%~x%](Psalmi 135)
4b	Nehemia	7	46	617	T		!	crossref	[Esra 2:43~100%~100%](Esra 2)
4b	Nehemia	7	47	618	T		!	crossref	[Esra 2:44~100%~100%](Esra 2)
4b	Reges_I	8	24	1172	T		!	crossref	[Chronica_II 6:15~100%~100%](Chronica_II 6)
4b	Reges_I	8	25	1177	T		!	crossref	[Chronica_II 6:16~96%~98%](Chronica_II 6)
4b	Numeri	34	16	3872	T		!	crossref	[Exodus 6:10~100%~100%](Exodus 6)
4b	Numeri	34	16	3872	T		!	crossref	[Exodus 13:1~100%~100%](Exodus 13)
4b	Numeri	34	16	3872	T		!	crossref	[Exodus 14:1~100%~100%](Exodus 14)
4b	Numeri	34	16	3872	T		!	crossref	[Exodus 16:11~100%~100%](Exodus 16)
4b	Numeri	34	16	3872	T		!	crossref	[Exodus 25:1~100%~100%](Exodus 25)
4b	Numeri	34	16	3872	T		!	crossref	[Exodus 30:11~100%~100%, 17~100%~100%, 22~100%~100%](Exodus 30)
4b	Numeri	34	16	3872	T		!	crossref	[Exodus 31:1~100%~100%, 12~x%~91%](Exodus 31)
4b	Numeri	34	16	3872	T		!	crossref	[Exodus 40:1~100%~100%](Exodus 40)
4b	Numeri	34	16	3872	T		!	crossref	[Leviticus 4:1~100%~100%](Leviticus 4)
4b	Numeri	34	16	3872	T		!	crossref	[Leviticus 5:14~100%~100%, 20~100%~100%](Leviticus 5)
4b	Numeri	34	16	3872	T		!	crossref	[Leviticus 6:1~100%~100%, 12~100%~100%, 17~100%~100%](Leviticus 6)
4b	Numeri	34	16	3872	T		!	crossref	[Leviticus 7:22~100%~100%, 28~100%~100%](Leviticus 7)
4b	Numeri	34	16	3872	T		!	crossref	[Leviticus 8:1~100%~100%](Leviticus 8)
4b	Numeri	34	16	3872	T		!	crossref	[Leviticus 12:1~100%~100%](Leviticus 12)
4b	Numeri	34	16	3872	T		!	crossref	[Leviticus 14:1~100%~100%](Leviticus 14)
4b	Numeri	34	16	3872	T		!	crossref	[Leviticus 17:1~100%~100%](Leviticus 17)
4b	Numeri	34	16	3872	T		!	crossref	[Leviticus 18:1~100%~100%](Leviticus 18)
4b	Numeri	34	16	3872	T		!	crossref	[Leviticus 19:1~100%~100%](Leviticus 19)
4b	Numeri	34	16	3872	T		!	crossref	[Leviticus 20:1~100%~100%](Leviticus 20)
4b	Numeri	34	16	3872	T		!	crossref	[Leviticus 21:16~100%~100%](Leviticus 21)
4b	Numeri	34	16	3872	T		!	crossref	[Leviticus 22:1~100%~100%, 17~100%~100%, 26~100%~100%](Leviticus 22)
4b	Numeri	34	16	3872	T		!	crossref	[Leviticus 23:1~100%~100%, 9~100%~100%, 23~100%~100%, 26~100%~100%, 33~100%~100%](Leviticus 23)
4b	Numeri	34	16	3872	T		!	crossref	[Leviticus 24:1~100%~100%, 13~100%~100%](Leviticus 24)
4b	Numeri	34	16	3872	T		!	crossref	[Leviticus 27:1~100%~100%](Leviticus 27)
4b	Numeri	34	16	3872	T		!	crossref	[Numeri 1:48~100%~100%](Numeri 1)
