version	book	chapter	verse	clause_atom	is_shared	is_published	status	keywords	ntext
4b	Psalmi	51	1	2476	T		!	verbsystem poetry	[Verb analysis of psalm 51](tool:verbsystem/files/Psalm051.html)
4b	Psalmi	52	1	2536	T		!	verbsystem poetry	[Verb analysis of psalm 52](tool:verbsystem/files/Psalm052.html)
4b	Psalmi	53	1	2572	T		!	verbsystem poetry	[Verb analysis of psalm 53](tool:verbsystem/files/Psalm053.html)
4b	Psalmi	54	1	2601	T		!	verbsystem poetry	[Verb analysis of psalm 54](tool:verbsystem/files/Psalm054.html)
4b	Psalmi	55	1	2627	T		!	verbsystem poetry	[Verb analysis of psalm 55](tool:verbsystem/files/Psalm055.html)
4b	Psalmi	56	1	2702	T		!	verbsystem poetry	[Verb analysis of psalm 56](tool:verbsystem/files/Psalm056.html)
4b	Psalmi	57	1	2748	T		!	verbsystem poetry	[Verb analysis of psalm 57](tool:verbsystem/files/Psalm057.html)
4b	Psalmi	58	1	2799	T		!	verbsystem poetry	[Verb analysis of psalm 58](tool:verbsystem/files/Psalm058.html)
4b	Psalmi	59	1	2835	T		!	verbsystem poetry	[Verb analysis of psalm 59](tool:verbsystem/files/Psalm059.html)
4b	Psalmi	60	1	2904	T		!	verbsystem poetry	[Verb analysis of psalm 60](tool:verbsystem/files/Psalm060.html)
4b	Psalmi	61	1	2953	T		!	verbsystem poetry	[Verb analysis of psalm 61](tool:verbsystem/files/Psalm061.html)
4b	Psalmi	62	1	2980	T		!	verbsystem poetry	[Verb analysis of psalm 62](tool:verbsystem/files/Psalm062.html)
4b	Psalmi	63	1	3029	T		!	verbsystem poetry	[Verb analysis of psalm 63](tool:verbsystem/files/Psalm063.html)
4b	Psalmi	64	1	3058	T		!	verbsystem poetry	[Verb analysis of psalm 64](tool:verbsystem/files/Psalm064.html)
4b	Psalmi	65	1	3090	T		!	verbsystem poetry	[Verb analysis of psalm 65](tool:verbsystem/files/Psalm065.html)
4b	Psalmi	66	1	3133	T		!	verbsystem poetry	[Verb analysis of psalm 66](tool:verbsystem/files/Psalm066.html)
